"code";"family";"label-en_US";"variant-axes_1";"variant-attributes_1"
"VARIANT_RH";"RH_PRODUCTS_TRADEITEMS_VARIANTS";"Variants based on Source, SourceItemID, Labeling";"SOURCE_OF_DATA,SOURCEITEMID,LABELING";"sku,MANU_SHORT,BRAND_NAME,BRAND_OWNER_NAME,BRAND_OWNER_LOCATION,BRAND_OWNER_GLN,MANUFACTURER_LOCATION,MANUFACTURER_GLN,MANUFACTURER_PART_NUM,COUNTRY_OF_ORIGIN,ITEM_DESCRIPTION,SHELF_LIFE_DAYS,STORAGE_INSTRUCTIONS,TRADE_ITEM_UNIT_DESCRIPTOR,NET_CONTENT,NET_CONTENT_UOM,GTIN_UNIT_LEVEL,SOURCE_OF_DATA,MANUFACTURER_NAME,SOURCEITEMID,LABELING,MAX_TEMPERATURE_MEASURE,MIN_TEMPERATURE_MEASURE,GROSS_WEIGHT_MEASURE,HEIGHT_MEASURE,WIDTH_MEASURE,VOLUME_MEASURE"
"VARIANT_RH_WITHUOMDESCRIPTOR";"RH_PRODUCTS_TRADEITEMS_VARIANTS";"Variants based on Source, SourceItemID, Labeling, UOM Descriptor";"TRADE_ITEM_UNIT_DESCRIPTOR,SOURCE_OF_DATA,SOURCEITEMID,LABELING";"sku,MANU_SHORT,BRAND_NAME,BRAND_OWNER_NAME,BRAND_OWNER_LOCATION,BRAND_OWNER_GLN,MANUFACTURER_LOCATION,MANUFACTURER_GLN,MANUFACTURER_PART_NUM,COUNTRY_OF_ORIGIN,ITEM_DESCRIPTION,SHELF_LIFE_DAYS,STORAGE_INSTRUCTIONS,TRADE_ITEM_UNIT_DESCRIPTOR,NET_CONTENT,NET_CONTENT_UOM,GTIN_UNIT_LEVEL,SOURCE_OF_DATA,MANUFACTURER_NAME,SOURCEITEMID,LABELING,MAX_TEMPERATURE_MEASURE,MIN_TEMPERATURE_MEASURE,GROSS_WEIGHT_MEASURE,HEIGHT_MEASURE,WIDTH_MEASURE,VOLUME_MEASURE"
"VARIANT_RH_MANUF";"RH_PRODUCTS_TRADEITEMS_VARIANTS";"Variants based on Manufacturer, SourceItemID, Labeling";"MANUFACTURER_NAME,SOURCEITEMID,LABELING";"sku,MANU_SHORT,BRAND_NAME,BRAND_OWNER_NAME,BRAND_OWNER_LOCATION,BRAND_OWNER_GLN,MANUFACTURER_LOCATION,MANUFACTURER_GLN,MANUFACTURER_PART_NUM,COUNTRY_OF_ORIGIN,ITEM_DESCRIPTION,SHELF_LIFE_DAYS,STORAGE_INSTRUCTIONS,TRADE_ITEM_UNIT_DESCRIPTOR,NET_CONTENT,NET_CONTENT_UOM,STRENGTH,GTIN_UNIT_LEVEL,SOURCE_OF_DATA,MANUFACTURER_NAME,SOURCEITEMID,LABELING,MAX_TEMPERATURE_MEASURE,MIN_TEMPERATURE_MEASURE,GROSS_WEIGHT_MEASURE,HEIGHT_MEASURE,WIDTH_MEASURE,VOLUME_MEASURE,DEPTH_MEASURE,GTIN,COUNTRY_REGULATORY_CODE"
